Subject,Start Date,Start Time,End Time,All Day Event,Private
"Системное администрирование операционных систем 1004 п. (1) 2к/107",01/18/2022,10:45 AM,12:15 PM,false,false
"Системное администрирование операционных систем 1004 п. (1) 2к/107",01/18/2022,12:30 PM,2:00 PM,false,false
"ДЕЖУРНЫЙ ПРЕПОДАВАТЕЛЬ",01/19/2022,9:00 AM,10:30 AM,true,false
"Технологии и методы программирования 904 п/п. (1.1) 5к/128лаб",01/21/2022,12:30 PM,2:00 PM,false,false
"Системное администрирование операционных систем 903 п/п. (1) 5к/232лаб",01/22/2022,9:00 AM,10:30 AM,false,false
"Системное администрирование операционных систем 903 п/п. (1) 5к/232лаб",01/22/2022,10:45 AM,12:15 PM,false,false
"Системное администрирование операционных систем 1004 с. (2) 2к/107",01/24/2022,12:30 PM,2:00 PM,false,false
"Программирование: языки, методы и технологии" 911 п/п. (1) 5к/128лаб",01/25/2022,9:00 AM,10:30 AM,false,false
"Программирование: языки, методы и технологии" 911 п/п. (1) 5к/128лаб",01/25/2022,10:45 AM,12:15 PM,false,false
"ДЕЖУРНЫЙ ПРЕПОДАВАТЕЛЬ",01/26/2022,9:00 AM,10:30 AM,true,false
"Языки программирования 913 п/п. (1) 5к/128лаб",01/26/2022,10:45 AM,12:15 PM,false,false
"Языки программирования 913 п/п. (1) 5к/128лаб",01/26/2022,12:30 PM,2:00 PM,false,false
"Технологии и методы программирования 904 п/п. (1.2) 5к/128лаб",01/27/2022,9:00 AM,10:30 AM,false,false
"Технологии и методы программирования 904 п/п. (1.2) 5к/128лаб",01/27/2022,10:45 AM,12:15 PM,false,false
"Программирование: языки, методы и технологии" 911 п/п. (1) 5к/128лаб",01/27/2022,12:30 PM,2:00 PM,false,false
"Программирование: языки, методы и технологии" 911 п/п. (1) 5к/128лаб",01/27/2022,4:00 PM,5:30 PM,false,false
"Программирование: языки, методы и технологии" 912 п/п. (1) 5к/126пол",01/28/2022,9:00 AM,10:30 AM,false,false
"Программирование: языки, методы и технологии" 912 п/п. (1) 5к/126пол",01/28/2022,10:45 AM,12:15 PM,false,false
"Программирование: языки, методы и технологии" 912 п/п. (1) 5к/126пол",01/28/2022,12:30 PM,2:00 PM,false,false
"Программирование: языки, методы и технологии" 912 п/п. (1) 5к/126пол",01/28/2022,4:00 PM,5:30 PM,false,false
"Системное администрирование операционных систем 1004 п. (2) 2к/107",01/29/2022,10:45 AM,12:15 PM,false,false
"Системное администрирование операционных систем 1004 п. (2) 2к/107",01/29/2022,12:30 PM,2:00 PM,false,false
"Языки программирования 913 п/п. (1) 5к/128лаб",01/31/2022,9:00 AM,10:30 AM,false,false
"Языки программирования 913 п/п. (1) 5к/128лаб",01/31/2022,12:30 PM,2:00 PM,false,false
"Языки программирования 913 п/п. (1) 5к/128лаб",01/31/2022,4:00 PM,5:30 PM,false,false
"Информационно-аналитическое обеспечение оперативно-разыскной деятельности (Галиев)181 с. (3.1) 2к/254",02/02/2022,9:00 AM,10:30 AM,false,false
"Системное администрирование операционных систем 903 с. (2) 5к/102",02/05/2022,12:30 PM,2:00 PM,false,false
"ДЕЖУРНЫЙ ПРЕПОДАВАТЕЛЬ",02/07/2022,9:00 AM,10:30 AM,true,false
"Системное администрирование операционных систем 903 п/п. (2) 5к/232лаб",02/07/2022,4:00 PM,5:30 PM,false,false
"Технологии и методы программирования 904 п/п. (1.3) 5к/128лаб",02/12/2022,9:00 AM,10:30 AM,false,false
"Технологии и методы программирования 904 п/п. (1.3) 5к/128лаб",02/12/2022,10:45 AM,12:15 PM,false,false
"Системное администрирование операционных систем 1004 с. (3) 2к/107",02/14/2022,9:00 AM,10:30 AM,false,false
"ДЕЖУРНЫЙ ПРЕПОДАВАТЕЛЬ",02/15/2022,9:00 AM,10:30 AM,true,false
"Системное администрирование операционных систем 1004 п. (3) 2к/107",02/16/2022,9:00 AM,10:30 AM,false,false
"Системное администрирование операционных систем 1004 п. (3) 2к/107",02/16/2022,10:45 AM,12:15 PM,false,false
"Программирование: языки, методы и технологии" 911 п/п. (2) 5к/128лаб",02/17/2022,12:30 PM,2:00 PM,false,false
"Программирование: языки, методы и технологии" 911 п/п. (2) 5к/128лаб",02/17/2022,4:00 PM,5:30 PM,false,false
"Программирование: языки, методы и технологии" 912 п/п. (2) 5к/126пол",02/18/2022,9:00 AM,10:30 AM,false,false
"Программирование: языки, методы и технологии" 912 п/п. (2) 5к/126пол",02/18/2022,10:45 AM,12:15 PM,false,false
"Языки программирования 913 п/п. (2) 5к/128лаб",02/19/2022,10:45 AM,12:15 PM,false,false
"Системное администрирование операционных систем 903 п/п. (2) 5к/315сспд",02/19/2022,12:30 PM,2:00 PM,false,false
"Программирование: языки, методы и технологии" 911 п/п. (2) 5к/128лаб",02/24/2022,9:00 AM,10:30 AM,false,false
"Программирование: языки, методы и технологии" 911 п/п. (2) 5к/128лаб",02/24/2022,10:45 AM,12:15 PM,false,false
"Программирование: языки, методы и технологии" 912 п/п. (2) 5к/126пол",02/25/2022,12:30 PM,2:00 PM,false,false
"Программирование: языки, методы и технологии" 912 п/п. (2) 5к/126пол",02/25/2022,4:00 PM,5:30 PM,false,false
"Системное администрирование операционных систем 1004 п. (4) 2к/107",02/26/2022,9:00 AM,10:30 AM,false,false
"Системное администрирование операционных систем 1004 п. (4) 2к/107",02/26/2022,10:45 AM,12:15 PM,false,false
"Системное администрирование операционных систем 903 п/п. (3) 5к/105it",02/28/2022,12:30 PM,2:00 PM,false,false
"Языки программирования 913 п/п. (2) 5к/128лаб",02/28/2022,4:00 PM,5:30 PM,false,false
"Системное администрирование операционных систем 1004 п. (5) 2к/107",03/02/2022,10:45 AM,12:15 PM,false,false
"Технологии и методы программирования 904 п/п. (2.1) 5к/128лаб",03/03/2022,12:30 PM,2:00 PM,false,false
"Технологии и методы программирования 904 п/п. (2.1) 5к/128лаб",03/03/2022,4:00 PM,5:30 PM,false,false
"Программирование: языки, методы и технологии" 911 п/п. (2) 5к/128лаб",03/04/2022,10:45 AM,12:15 PM,false,false
"Программирование: языки, методы и технологии" 912 п/п. (2) 5к/110тзи",03/04/2022,12:30 PM,2:00 PM,false,false
"Программирование: языки, методы и технологии" 912 п/п. (2) 5к/232лаб",03/04/2022,4:00 PM,5:30 PM,false,false
"Системное администрирование операционных систем 903 п/п. (3) 5к/315сспд",03/06/2022,9:00 AM,10:30 AM,false,false
"Технологии и методы программирования 904 п/п. (2.1) 5к/128лаб",03/14/2022,9:00 AM,10:30 AM,false,false
"Технологии и методы программирования 904 п/п. (2.1) 5к/128лаб",03/14/2022,10:45 AM,12:15 PM,false,false
"Языки программирования 913 п/п. (2) 5к/128лаб",03/14/2022,12:30 PM,2:00 PM,false,false
"Системное администрирование операционных систем 903 п/п. (4) 5к/232лаб",03/15/2022,9:00 AM,10:30 AM,false,false
"Системное администрирование операционных систем 1004 п. (6) 2к/107",03/16/2022,9:00 AM,10:30 AM,false,false
"Системное администрирование операционных систем 1004 п. (6) 2к/107",03/16/2022,10:45 AM,12:15 PM,false,false
"Системное администрирование операционных систем 1004 п. (7) 2к/107",03/18/2022,10:45 AM,12:15 PM,false,false
"Программирование: языки, методы и технологии" 912 п/п. (2) 5к/105it",03/21/2022,4:00 PM,5:30 PM,false,false
"Системное администрирование операционных систем 1004 п. (8) 2к/107",03/23/2022,10:45 AM,12:15 PM,false,false
"Системное администрирование операционных систем 1004 п. (8) 2к/107",03/23/2022,12:30 PM,2:00 PM,false,false
"Программирование: языки, методы и технологии" 911 п/п. (2) 5к/128лаб",03/25/2022,10:45 AM,12:15 PM,false,false
"Программирование: языки, методы и технологии" 911 п/п. (2) 5к/128лаб",03/25/2022,12:30 PM,2:00 PM,false,false
"Программирование: языки, методы и технологии" 911 п/п. (2) 5к/128лаб",03/25/2022,4:00 PM,5:30 PM,false,false
"Программирование: языки, методы и технологии" 912 п/п. (2) 5к/126пол",03/26/2022,10:45 AM,12:15 PM,false,false
"Системное администрирование операционных систем 903 п/п. (5) 5к/232лаб",03/28/2022,12:30 PM,2:00 PM,false,false
"Технологии и методы программирования 904 п/п. (2.2) 5к/128лаб",03/31/2022,9:00 AM,10:30 AM,false,false
"Технологии и методы программирования 904 п/п. (2.2) 5к/128лаб",03/31/2022,10:45 AM,12:15 PM,false,false
"Системное администрирование операционных систем 903 п/п. (5) 5к/232лаб",03/31/2022,12:30 PM,2:00 PM,false,false
"Системное администрирование операционных систем 1004 п. (9) 2к/107",04/02/2022,9:00 AM,10:30 AM,false,false
"Системное администрирование операционных систем 1004 п. (9) 2к/107",04/02/2022,10:45 AM,12:15 PM,false,false
"Технологии и методы программирования 904 п/п. (2.2) 5к/128лаб",04/04/2022,9:00 AM,10:30 AM,false,false
"Технологии и методы программирования 904 п/п. (2.2) 5к/128лаб",04/04/2022,10:45 AM,12:15 PM,false,false
"Системное администрирование операционных систем 1004 п. (10) 2к/107",04/05/2022,10:45 AM,12:15 PM,false,false
"Системное администрирование операционных систем 903 п/п. (6) 5к/105it",04/09/2022,10:45 AM,12:15 PM,false,false
"Языки программирования 913 п/п. (3) 5к/128лаб",04/11/2022,12:30 PM,2:00 PM,false,false
"Языки программирования 913 п/п. (3) 5к/128лаб",04/11/2022,4:00 PM,5:30 PM,false,false
"Программирование: языки, методы и технологии" 911 п/п. (2) 5к/128лаб",04/13/2022,9:00 AM,10:30 AM,false,false
"Программирование: языки, методы и технологии" 911 п/п. (2) 5к/128лаб",04/13/2022,10:45 AM,12:15 PM,false,false
"Программирование: языки, методы и технологии" 911 п/п. (2) 5к/128лаб",04/13/2022,12:30 PM,2:00 PM,false,false
"Технологии и методы программирования 904 п/п. (2.2) 5к/128лаб",04/13/2022,4:00 PM,5:30 PM,false,false
"Системное администрирование операционных систем 903 п/п. (7) 5к/232лаб",04/14/2022,10:45 AM,12:15 PM,false,false
"Технологии и методы программирования 904 п/п. (2.2) 5к/128лаб",04/14/2022,12:30 PM,2:00 PM,false,false
"Технологии и методы программирования 904 п/п. (2.2) 5к/128лаб",04/14/2022,4:00 PM,5:30 PM,false,false
"Системное администрирование операционных систем 1004 п. (11) 2к/107",04/15/2022,10:45 AM,12:15 PM,false,false
"Программирование: языки, методы и технологии" 912 п/п. (2) 5к/126пол",04/16/2022,10:45 AM,12:15 PM,false,false
"Программирование: языки, методы и технологии" 912 п/п. (2) 5к/126пол",04/16/2022,12:30 PM,2:00 PM,false,false
"Технологии и методы программирования 904 к/р. (2.2) 5к/128лаб",04/19/2022,9:00 AM,10:30 AM,false,false
"Программирование: языки, методы и технологии" 912 п/п. (2) 5к/126пол",04/25/2022,10:45 AM,12:15 PM,false,false
"Системное администрирование операционных систем 903 п/п. (8) 5к/105it",04/25/2022,12:30 PM,2:00 PM,false,false
"Системное администрирование операционных систем 903 п/п. (8) 5к/105it",04/25/2022,4:00 PM,5:30 PM,false,false
"Языки программирования 913 п/п. (3) 5к/126пол",04/28/2022,9:00 AM,10:30 AM,false,false
"Системное администрирование операционных систем 1004 п. (12) 2к/107",04/29/2022,9:00 AM,10:30 AM,false,false
"Системное администрирование операционных систем 1004 п. (12) 2к/107",04/29/2022,10:45 AM,12:15 PM,false,false
"Программирование: языки, методы и технологии" 911 п/п. (2) 5к/128лаб",04/30/2022,9:00 AM,10:30 AM,false,false
"Программирование: языки, методы и технологии" 911 п/п. (2) 5к/128лаб",04/30/2022,10:45 AM,12:15 PM,false,false
"Языки программирования 913 п/п. (3) 5к/128лаб",04/30/2022,12:30 PM,2:00 PM,false,false
"Системное администрирование операционных систем 903 п/п. (9) 5к/315сспд",05/05/2022,12:30 PM,2:00 PM,false,false
"Системное администрирование операционных систем 903 п/п. (9) 5к/315сспд",05/05/2022,4:00 PM,5:30 PM,false,false
"Системное администрирование операционных систем 1004 п. (13) 2к/107",05/06/2022,9:00 AM,10:30 AM,false,false
"Системное администрирование операционных систем 1004 п. (13) 2к/107",05/06/2022,10:45 AM,12:15 PM,false,false
"Системное администрирование операционных систем 1004 п. (13) 2к/107",05/06/2022,12:30 PM,2:00 PM,false,false
"Языки программирования 913 п/п. (3) 5к/128лаб",05/19/2022,9:00 AM,10:30 AM,false,false
"Языки программирования 913 п/п. (3) 5к/128лаб",05/19/2022,10:45 AM,12:15 PM,false,false
"Технологии и методы программирования 904 п/п. (2.3) 5к/128лаб",05/23/2022,9:00 AM,10:30 AM,false,false
"Технологии и методы программирования 904 п/п. (2.3) 5к/128лаб",05/23/2022,10:45 AM,12:15 PM,false,false
"Технологии и методы программирования 904 п/п. (2.3) 5к/128лаб",05/23/2022,12:30 PM,2:00 PM,false,false
"Языки программирования 913 п/п. (3) 5к/128лаб",05/23/2022,4:00 PM,5:30 PM,false,false
"Программирование: языки, методы и технологии" 912 п/п. (2) 5к/126пол",05/24/2022,9:00 AM,10:30 AM,false,false
"Программирование: языки, методы и технологии" 912 п/п. (2) 5к/126пол",05/24/2022,10:45 AM,12:15 PM,false,false
"Программирование: языки, методы и технологии" 912 п/п. (2) 5к/126пол",05/24/2022,12:30 PM,2:00 PM,false,false
"Системное администрирование операционных систем 903 п/п. (10) 5к/232лаб",05/25/2022,9:00 AM,10:30 AM,false,false
"Технологии и методы программирования 904 п/п. (2.3) 5к/128лаб",05/25/2022,10:45 AM,12:15 PM,false,false
"Технологии и методы программирования 904 п/п. (2.3) 5к/128лаб",05/25/2022,12:30 PM,2:00 PM,false,false
"Технологии и методы программирования 904 п/п. (2.3) 5к/128лаб",05/25/2022,4:00 PM,5:30 PM,false,false
"Системное администрирование операционных систем 903 п/п. (10) 5к/232лаб",05/26/2022,4:00 PM,5:30 PM,false,false
"Системное администрирование операционных систем 1004 п. (14) 2к/107",05/27/2022,9:00 AM,10:30 AM,false,false
"Системное администрирование операционных систем 1004 п. (14) 2к/107",05/27/2022,10:45 AM,12:15 PM,false,false
"Программирование: языки, методы и технологии" 912 п/п. (2) 5к/126пол",05/27/2022,12:30 PM,2:00 PM,false,false
"Языки программирования 913 п/п. (3) 5к/128лаб",05/27/2022,4:00 PM,5:30 PM,false,false
"Системное администрирование операционных систем 903 п/п. (11) 5к/105it",05/28/2022,9:00 AM,10:30 AM,false,false
"Системное администрирование операционных систем 903 п/п. (11) 5к/105it",05/28/2022,10:45 AM,12:15 PM,false,false
"Системное администрирование операционных систем 903 п/п. (12) 5к/315сспд",05/30/2022,10:45 AM,12:15 PM,false,false
"Системное администрирование операционных систем 903 п/п. (12) 5к/315сспд",05/30/2022,12:30 PM,2:00 PM,false,false
"Программирование: языки, методы и технологии" 911 п/п. (2) 5к/128лаб",05/31/2022,9:00 AM,10:30 AM,false,false
"Программирование: языки, методы и технологии" 911 п/п. (2) 5к/128лаб",05/31/2022,10:45 AM,12:15 PM,false,false
"Программирование: языки, методы и технологии" 911 п/п. (2) 5к/128лаб",05/31/2022,12:30 PM,2:00 PM,false,false
"Программирование: языки, методы и технологии" 911 п/п. (2) 5к/128лаб",06/03/2022,9:00 AM,10:30 AM,false,false
"Программирование: языки, методы и технологии" 911 п/п. (2) 5к/128лаб",06/03/2022,10:45 AM,12:15 PM,false,false
"Программирование: языки, методы и технологии" 912 п/п. (2) 5к/126пол",06/03/2022,12:30 PM,2:00 PM,false,false
"Программирование: языки, методы и технологии" 912 п/п. (2) 5к/126пол",06/03/2022,4:00 PM,5:30 PM,false,false
"Технологии и методы программирования 904 п/п. (2.3) 5к/128лаб",06/04/2022,9:00 AM,10:30 AM,false,false
"Технологии и методы программирования 904 п/п. (2.3) 5к/128лаб",06/04/2022,10:45 AM,12:15 PM,false,false
"Технологии и методы программирования 904 п/п. (2.3) 5к/128лаб",06/04/2022,12:30 PM,2:00 PM,false,false
"Программирование: языки, методы и технологии" 912 п/п. (2) 5к/126пол",06/06/2022,9:00 AM,10:30 AM,false,false
"Программирование: языки, методы и технологии" 911 п/п. (2) 5к/128лаб",06/06/2022,10:45 AM,12:15 PM,false,false
"Программирование: языки, методы и технологии" 911 п/п. (2) 5к/128лаб",06/06/2022,12:30 PM,2:00 PM,false,false
"Технологии и методы программирования 904 п/п. (2.3) 5к/128лаб",06/08/2022,9:00 AM,10:30 AM,false,false
"Технологии и методы программирования 904 п/п. (2.3) 5к/128лаб",06/08/2022,10:45 AM,12:15 PM,false,false
"Технологии и методы программирования 904 п/п. (2.3) 5к/128лаб",06/08/2022,12:30 PM,2:00 PM,false,false
"Системное администрирование операционных систем 903 п/п. (13) 5к/105it",06/08/2022,4:00 PM,5:30 PM,false,false
"Системное администрирование операционных систем 1004 п. (15) 2к/107",06/09/2022,9:00 AM,10:30 AM,false,false
"Системное администрирование операционных систем 1004 п. (15) 2к/107",06/09/2022,10:45 AM,12:15 PM,false,false
"Системное администрирование операционных систем 1004 п. (15) 2к/107",06/09/2022,12:30 PM,2:00 PM,false,false
"Программирование: языки, методы и технологии" 912 п/п. (2) 5к/126пол",06/10/2022,10:45 AM,12:15 PM,false,false
"Системное администрирование операционных систем 903 п/п. (13) 5к/128лаб",06/10/2022,12:30 PM,2:00 PM,false,false
"Системное администрирование операционных систем 903 п/п. (13) 5к/105it",06/10/2022,4:00 PM,5:30 PM,false,false
"Языки программирования 913 п/п. (4) 5к/128лаб",06/11/2022,9:00 AM,10:30 AM,false,false
"Языки программирования 913 п/п. (4) 5к/128лаб",06/11/2022,10:45 AM,12:15 PM,false,false
"Программирование: языки, методы и технологии" 911 п/п. (2) 5к/128лаб",06/14/2022,10:45 AM,12:15 PM,false,false
"Программирование: языки, методы и технологии" 911 п/п. (2) 5к/128лаб",06/14/2022,12:30 PM,2:00 PM,false,false
"Программирование: языки, методы и технологии" 912 п/п. (2) 5к/126пол",06/16/2022,9:00 AM,10:30 AM,false,false
"Программирование: языки, методы и технологии" 912 п/п. (2) 5к/126пол",06/16/2022,10:45 AM,12:15 PM,false,false
"Системное администрирование операционных систем 903 п/п. (14) 5к/315сспд",06/16/2022,12:30 PM,2:00 PM,false,false
"Системное администрирование операционных систем 1004 п. (16) 2к/107",06/17/2022,10:45 AM,12:15 PM,false,false
"Системное администрирование операционных систем 1004 п. (16) 2к/107",06/17/2022,12:30 PM,2:00 PM,false,false
"Языки программирования 913 п/п. (4) 5к/128лаб",06/18/2022,10:45 AM,12:15 PM,false,false
"Языки программирования 913 п/п. (4) 5к/128лаб",06/18/2022,12:30 PM,2:00 PM,false,false
"Языки программирования 913 п/п. (4) 5к/128лаб",06/20/2022,9:00 AM,10:30 AM,false,false
"Языки программирования 913 п/п. (4) 5к/128лаб",06/20/2022,10:45 AM,12:15 PM,false,false
"Программирование: языки, методы и технологии" 912 п/п. (2) 5к/126пол",06/20/2022,12:30 PM,2:00 PM,false,false
"Программирование: языки, методы и технологии" 912 п/п. (2) 5к/126пол",06/20/2022,4:00 PM,5:30 PM,false,false
