Subject,Start Date,Start Time,End Time,All Day Event,Private
"Информационно-аналитическое обеспечение оперативно-разыскной деятельности (Галиев)181 с. (3.1) 2к/254",02/02/2022,9:00 AM,10:30 AM,false,false
"Системы и сети передачи данных (Плотников)1094 п. (12) 2к/110",02/03/2022,9:00 AM,10:30 AM,false,false
"Системы и сети передачи данных (Плотников)1094 п. (12) 2к/110",02/03/2022,10:45 AM,12:15 PM,false,false
"Системы и сети передачи данных (Плотников)1094 с. (13) 2к/110",02/04/2022,12:30 PM,2:00 PM,false,false
"Системы и сети передачи данных 991кэ, 991тзи(Плотников) п/п. (13) 5к/232лаб",02/07/2022,10:45 AM,12:15 PM,false,false
"Системы и сети передачи данных (Плотников)1094 п. (13) 2к/110",02/08/2022,9:00 AM,10:30 AM,false,false
"Системы и сети передачи данных (Плотников)1094 п. (13) 2к/110",02/08/2022,10:45 AM,12:15 PM,false,false
"Средства вычислительной техники (Овчинский)912   п/п. (2) 5к/232лаб",02/09/2022,4:00 PM,5:30 PM,false,false
"Базы данных 982иаопд(Булгакова) п/п. (13) 5к/232лаб",02/10/2022,9:00 AM,10:30 AM,false,false
"Системы и сети передачи данных 992отор, 992иао(Плотников) п/п. (13) 5к/315сспд",02/10/2022,10:45 AM,12:15 PM,false,false
"Системы и сети передачи данных 992отор, 992иао(Плотников) п/п. (14) 5к/315сспд",02/10/2022,12:30 PM,2:00 PM,false,false
"Системы и сети передачи данных 992отор, 992иао(Плотников) п/п. (14) 5к/315сспд",02/10/2022,4:00 PM,5:30 PM,false,false
"Методы обработки данных 992иао, 992отор(Булгакова) с. (4) 5к/105it",02/11/2022,12:30 PM,2:00 PM,false,false
"Системы и сети передачи данных 991кэ, 991тзи(Булгакова) п/п. (14) 5к/105it",02/11/2022,4:00 PM,5:30 PM,false,false
"Системы и сети передачи данных (Плотников)1094 п. (14) 2к/110",02/14/2022,10:45 AM,12:15 PM,false,false
"Системы и сети передачи данных (Плотников)1094 п. (14) 2к/110",02/14/2022,12:30 PM,2:00 PM,false,false
"Информационно-аналитическое обеспечение оперативно-разыскной деятельности (Дворянкин)181 п. (4.3.1) 5к/315сспд",03/05/2022,9:00 AM,10:30 AM,false,false
"Информационно-аналитическое обеспечение оперативно-разыскной деятельности (Бормотов)181 п. (4.3.2) 5к/315сспд",03/05/2022,10:45 AM,12:15 PM,false,false
"Информационно-аналитическое обеспечение оперативно-разыскной деятельности (Дворянкин)181 п. (5.1) 5к/315сспд",03/05/2022,12:30 PM,2:00 PM,false,false
